schoolname,ncesid,ncesdistid_admin,ncesdistid_geo,census_id,pp_stloc_raw,pp_fed_raw,pp_total_raw,pp_total_norm_NERDS,flag_nerds,flag_f33,schoolstloc_raw,schoolfed_raw,schooltot_raw,distid_stateassigned,schoolid_stateassigned,distname,address,city,state,zip_code,ncesenroll,enroll_raw,enrollmetric_raw,gradespan,level
ABC Secondary (Alternative),060162010232,0601620,0601620,05501970200000,8965,919,9884,10084.29255,false,NRD,735130,75358,810488,19642120000000,19642121995596,ABC Unified,16534 S. CARMENITA RD.,CERRITOS,CA,90703,82,82,CALPADS Fall 1 Submission enrollment,07-12,4
Bragg Elementary,060162000004,0601620,0601620,05501970200000,10001,919,10920,11120.29255,false,NRD,6540654,601026,7141680,19642120000000,19642126071369,ABC Unified,11501 BOS ST.,CERRITOS,CA,90703,655,654,CALPADS Fall 1 Submission enrollment,KG-06,2
Carver (Charles J.) Elementary,060162000008,0601620,0601620,05501970200000,10059,1046,11105,11305.29255,false,NRD,6216462,646428,6862890,19642120000000,19642126010904,ABC Unified,19200 E. ELY ST.,CERRITOS,CA,90703,618,618,CALPADS Fall 1 Submission enrollment,KG-06,2
Cerritos Elementary,060162000009,0601620,0601620,05501970200000,10079,919,10998,11198.29255,false,NRD,6783167,618487,7401654,19642120000000,19642126068274,ABC Unified,13600 E. 183RD ST.,CERRITOS,CA,90703,673,673,CALPADS Fall 1 Submission enrollment,KG-06,2
Elliott (William F) Elementary,060162000011,0601620,0601620,05501970200000,10200,1155,11355,11555.29255,false,NRD,5508000,623700,6131700,19642120000000,19642126010987,ABC Unified,18415 CORTNER AVE.,ARTESIA,CA,90703,541,540,CALPADS Fall 1 Submission enrollment,KG-06,2
Fedde (Pharis F.) Middle,060162000020,0601620,0601620,05501970200000,12510,1421,13931,14131.29255,false,NRD,5404320,613872,6018192,19642120000000,19642126061238,ABC Unified,21409 S. ELAINE AVE.,HAWAIIAN GARDENS,CA,90716,432,432,CALPADS Fall 1 Submission enrollment,07-08,3
Furgeson (Venn W.) Elementary,060162000013,0601620,0601620,05501970200000,12276,1425,13701,13901.29255,false,NRD,4652604,540075,5192679,19642120000000,19642126010979,ABC Unified,22215 ELAINE AVE.,HAWAIIAN GARDENS,CA,90716,379,379,CALPADS Fall 1 Submission enrollment,KG-06,2
Gonsalves (Joe A.) Elementary,060162000015,0601620,0601620,05501970200000,9915,919,10834,11034.29255,false,NRD,6365430,589998,6955428,19642120000000,19642126085617,ABC Unified,13650 PARK ST.,CERRITOS,CA,90703,642,642,CALPADS Fall 1 Submission enrollment,KG-06,2
Haskell (Pliny Fisk) Middle,060162000016,0601620,0601620,05501970200000,11127,1126,12253,12453.29255,false,NRD,6186612,626056,6812668,19642120000000,19642126061220,ABC Unified,11525 DEL AMO BLVD.,CERRITOS,CA,90703,556,556,CALPADS Fall 1 Submission enrollment,07-08,3
Hawaiian Elementary,060162000017,0601620,0601620,05501970200000,12651,1375,14026,14226.29255,false,NRD,4389897,477125,4867022,19642120000000,19642126010920,ABC Unified,12350 E. 226TH ST.,HAWAIIAN GARDENS,CA,90716,348,347,CALPADS Fall 1 Submission enrollment,KG-06,2
Juarez (Benito) Elementary,060162000018,0601620,0601620,05501970200000,11798,1239,13037,13237.29255,false,NRD,3999522,420021,4419543,19642120000000,19642126071351,ABC Unified,11939 ACLARE ST.,CERRITOS,CA,90703,339,339,CALPADS Fall 1 Submission enrollment,KG-06,2
