,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
0,6,CA,Alameda County,mth,3,2009,gcs_mn_all,2.558934946549429,all,All
2,6,CA,Alameda County,mth,3,2010,gcs_mn_all,2.790544985653355,all,All
4,6,CA,Alameda County,mth,3,2011,gcs_mn_all,2.819196072596128,all,All
6,6,CA,Alameda County,mth,3,2012,gcs_mn_all,2.789800282361203,all,All
8,6,CA,Alameda County,mth,3,2013,gcs_mn_all,2.811639773509243,all,All
10,6,CA,Alameda County,mth,3,2015,gcs_mn_all,2.770247325260095,all,All
12,6,CA,Alameda County,mth,3,2016,gcs_mn_all,2.786997655656319,all,All
14,6,CA,Alameda County,mth,3,2017,gcs_mn_all,2.762717731851603,all,All
16,6,CA,Alameda County,mth,3,2018,gcs_mn_all,2.966001207398679,all,All
18,6,CA,Alameda County,mth,4,2009,gcs_mn_all,3.431465249270278,all,All
20,6,CA,Alameda County,mth,4,2010,gcs_mn_all,3.668748937509967,all,All
22,6,CA,Alameda County,mth,4,2011,gcs_mn_all,3.75269521109278,all,All
24,6,CA,Alameda County,mth,4,2012,gcs_mn_all,3.757871076168066,all,All
26,6,CA,Alameda County,mth,4,2013,gcs_mn_all,3.674323679118136,all,All
28,6,CA,Alameda County,mth,4,2015,gcs_mn_all,3.93833809217933,all,All
30,6,CA,Alameda County,mth,4,2016,gcs_mn_all,3.835420973871273,all,All
32,6,CA,Alameda County,mth,4,2017,gcs_mn_all,3.912068383757282,all,All
34,6,CA,Alameda County,mth,4,2018,gcs_mn_all,3.973808513665606,all,All
36,6,CA,Alameda County,mth,5,2009,gcs_mn_all,4.463510533164356,all,All
38,6,CA,Alameda County,mth,5,2010,gcs_mn_all,4.730694808355101,all,All
40,6,CA,Alameda County,mth,5,2011,gcs_mn_all,4.906885944687789,all,All
42,6,CA,Alameda County,mth,5,2012,gcs_mn_all,4.864677288839044,all,All
44,6,CA,Alameda County,mth,5,2013,gcs_mn_all,4.925056707256037,all,All
46,6,CA,Alameda County,mth,5,2015,gcs_mn_all,5.275631948281202,all,All
48,6,CA,Alameda County,mth,5,2016,gcs_mn_all,5.146132687805679,all,All
50,6,CA,Alameda County,mth,5,2017,gcs_mn_all,5.157177101000007,all,All
52,6,CA,Alameda County,mth,5,2018,gcs_mn_all,5.225353727355169,all,All
54,6,CA,Alameda County,mth,6,2009,gcs_mn_all,5.472220363754116,all,All
56,6,CA,Alameda County,mth,6,2010,gcs_mn_all,5.576530940499242,all,All
58,6,CA,Alameda County,mth,6,2011,gcs_mn_all,5.703288035392505,all,All
60,6,CA,Alameda County,mth,6,2012,gcs_mn_all,5.803554285571556,all,All
62,6,CA,Alameda County,mth,6,2013,gcs_mn_all,5.762562872266368,all,All
64,6,CA,Alameda County,mth,6,2015,gcs_mn_all,6.032363938843062,all,All
66,6,CA,Alameda County,mth,6,2016,gcs_mn_all,6.132683299184987,all,All
68,6,CA,Alameda County,mth,6,2017,gcs_mn_all,6.14945447398932,all,All
70,6,CA,Alameda County,mth,6,2018,gcs_mn_all,6.065015525195507,all,All
77,6,CA,Alameda County,mth,7,2015,gcs_mn_all,7.231995883416015,all,All
79,6,CA,Alameda County,mth,7,2016,gcs_mn_all,7.289019220873996,all,All
81,6,CA,Alameda County,mth,7,2017,gcs_mn_all,7.505740508325726,all,All
83,6,CA,Alameda County,mth,7,2018,gcs_mn_all,7.428938613922574,all,All
90,6,CA,Alameda County,mth,8,2015,gcs_mn_all,8.213190143360094,all,All
92,6,CA,Alameda County,mth,8,2016,gcs_mn_all,8.26118266019773,all,All
94,6,CA,Alameda County,mth,8,2017,gcs_mn_all,8.417657956297663,all,All
96,6,CA,Alameda County,mth,8,2018,gcs_mn_all,8.52216933916652,all,All
98,6,CA,Alpine County,mth,3,2009,gcs_mn_all,,all,All
100,6,CA,Alpine County,mth,3,2010,gcs_mn_all,,all,All
102,6,CA,Alpine County,mth,3,2011,gcs_mn_all,,all,All
104,6,CA,Alpine County,mth,3,2012,gcs_mn_all,,all,All
106,6,CA,Alpine County,mth,3,2013,gcs_mn_all,,all,All
108,6,CA,Alpine County,mth,3,2015,gcs_mn_all,,all,All
110,6,CA,Alpine County,mth,3,2017,gcs_mn_all,,all,All
112,6,CA,Alpine County,mth,3,2018,gcs_mn_all,,all,All
114,6,CA,Alpine County,mth,4,2009,gcs_mn_all,,all,All
116,6,CA,Alpine County,mth,4,2010,gcs_mn_all,,all,All
118,6,CA,Alpine County,mth,4,2011,gcs_mn_all,,all,All
120,6,CA,Alpine County,mth,4,2012,gcs_mn_all,,all,All
122,6,CA,Alpine County,mth,4,2013,gcs_mn_all,,all,All
123,6,CA,Alpine County,mth,4,2017,gcs_mn_all,,all,All
125,6,CA,Alpine County,mth,4,2018,gcs_mn_all,,all,All
127,6,CA,Alpine County,mth,5,2009,gcs_mn_all,,all,All
129,6,CA,Alpine County,mth,5,2010,gcs_mn_all,,all,All
131,6,CA,Alpine County,mth,5,2011,gcs_mn_all,,all,All
133,6,CA,Alpine County,mth,5,2012,gcs_mn_all,,all,All
135,6,CA,Alpine County,mth,5,2013,gcs_mn_all,,all,All
137,6,CA,Alpine County,mth,5,2015,gcs_mn_all,,all,All
139,6,CA,Alpine County,mth,5,2017,gcs_mn_all,,all,All
141,6,CA,Alpine County,mth,5,2018,gcs_mn_all,,all,All
143,6,CA,Alpine County,mth,6,2009,gcs_mn_all,,all,All
145,6,CA,Alpine County,mth,6,2010,gcs_mn_all,,all,All
147,6,CA,Alpine County,mth,6,2011,gcs_mn_all,,all,All
149,6,CA,Alpine County,mth,6,2012,gcs_mn_all,,all,All
151,6,CA,Alpine County,mth,6,2013,gcs_mn_all,,all,All
153,6,CA,Alpine County,mth,6,2018,gcs_mn_all,,all,All
160,6,CA,Alpine County,mth,7,2015,gcs_mn_all,,all,All
162,6,CA,Alpine County,mth,7,2016,gcs_mn_all,,all,All
164,6,CA,Alpine County,mth,7,2018,gcs_mn_all,,all,All
171,6,CA,Alpine County,mth,8,2015,gcs_mn_all,,all,All
173,6,CA,Alpine County,mth,8,2016,gcs_mn_all,,all,All
175,6,CA,Alpine County,mth,8,2017,gcs_mn_all,,all,All
177,6,CA,Alpine County,mth,8,2018,gcs_mn_all,,all,All
179,6,CA,Amador County,mth,3,2009,gcs_mn_all,2.521614900142058,all,All
181,6,CA,Amador County,mth,3,2010,gcs_mn_all,2.429645377340912,all,All
183,6,CA,Amador County,mth,3,2011,gcs_mn_all,2.759036116479336,all,All
185,6,CA,Amador County,mth,3,2012,gcs_mn_all,2.546351159070509,all,All
187,6,CA,Amador County,mth,3,2013,gcs_mn_all,2.060690432679987,all,All
189,6,CA,Amador County,mth,3,2015,gcs_mn_all,1.597848767419654,all,All
191,6,CA,Amador County,mth,3,2016,gcs_mn_all,1.761286950224239,all,All
193,6,CA,Amador County,mth,3,2017,gcs_mn_all,2.221623687426415,all,All
195,6,CA,Amador County,mth,3,2018,gcs_mn_all,1.586803328445085,all,All
197,6,CA,Amador County,mth,4,2009,gcs_mn_all,3.168294856335451,all,All
199,6,CA,Amador County,mth,4,2010,gcs_mn_all,3.121015420696394,all,All
201,6,CA,Amador County,mth,4,2011,gcs_mn_all,2.789885215859857,all,All
203,6,CA,Amador County,mth,4,2012,gcs_mn_all,2.973681392841163,all,All
205,6,CA,Amador County,mth,4,2013,gcs_mn_all,2.879642522356488,all,All
207,6,CA,Amador County,mth,4,2015,gcs_mn_all,2.814165864807683,all,All
209,6,CA,Amador County,mth,4,2016,gcs_mn_all,2.785507454037517,all,All
211,6,CA,Amador County,mth,4,2017,gcs_mn_all,2.962069865655772,all,All
213,6,CA,Amador County,mth,4,2018,gcs_mn_all,3.336078635555296,all,All
215,6,CA,Amador County,mth,5,2009,gcs_mn_all,3.228549646111794,all,All
217,6,CA,Amador County,mth,5,2010,gcs_mn_all,3.85996819812439,all,All
219,6,CA,Amador County,mth,5,2011,gcs_mn_all,3.478565771926525,all,All
221,6,CA,Amador County,mth,5,2012,gcs_mn_all,3.3375951865443,all,All
223,6,CA,Amador County,mth,5,2013,gcs_mn_all,3.892810908609069,all,All
225,6,CA,Amador County,mth,5,2015,gcs_mn_all,3.800216164625536,all,All
227,6,CA,Amador County,mth,5,2016,gcs_mn_all,3.834455643776837,all,All
229,6,CA,Amador County,mth,5,2017,gcs_mn_all,3.850881366065322,all,All
231,6,CA,Amador County,mth,5,2018,gcs_mn_all,3.609268799705685,all,All
233,6,CA,Amador County,mth,6,2009,gcs_mn_all,4.717301771139429,all,All
235,6,CA,Amador County,mth,6,2010,gcs_mn_all,4.747281698855505,all,All
237,6,CA,Amador County,mth,6,2011,gcs_mn_all,5.210639869889994,all,All
239,6,CA,Amador County,mth,6,2012,gcs_mn_all,4.891991532861901,all,All
241,6,CA,Amador County,mth,6,2013,gcs_mn_all,5.416047821917625,all,All
243,6,CA,Amador County,mth,6,2015,gcs_mn_all,5.271343295697467,all,All
245,6,CA,Amador County,mth,6,2016,gcs_mn_all,5.30334661496284,all,All
247,6,CA,Amador County,mth,6,2017,gcs_mn_all,5.259250120237809,all,All
249,6,CA,Amador County,mth,6,2018,gcs_mn_all,4.809571151823574,all,All
258,6,CA,Amador County,mth,7,2017,gcs_mn_all,6.079268371924933,all,All
260,6,CA,Amador County,mth,7,2018,gcs_mn_all,5.495584861980463,all,All
267,6,CA,Amador County,mth,8,2015,gcs_mn_all,6.411607061824348,all,All
268,6,CA,Amador County,mth,8,2016,gcs_mn_all,6.168284637338738,all,All
270,6,CA,Amador County,mth,8,2017,gcs_mn_all,6.88219046326513,all,All
272,6,CA,Amador County,mth,8,2018,gcs_mn_all,6.084028319701505,all,All
274,6,CA,Butte County,mth,3,2009,gcs_mn_all,1.614457794321339,all,All
276,6,CA,Butte County,mth,3,2010,gcs_mn_all,1.602699236338444,all,All
278,6,CA,Butte County,mth,3,2011,gcs_mn_all,1.750648967168716,all,All
280,6,CA,Butte County,mth,3,2012,gcs_mn_all,1.69101853675095,all,All
