"","schoolname","ncesid","ncesdistid_admin","ncesdistid_geo","census_id","pp_stloc_raw","pp_fed_raw","pp_total_raw","pp_total_norm_NERDS","flag_nerds","flag_f33","schoolstloc_raw","schoolfed_raw","schooltot_raw","distid_stateassigned","schoolid_stateassigned","distname","address","city","state","zip_code","ncesenroll","enroll_raw","enrollmetric_raw","gradespan","level","sedasch","sedaschname","fips","stateabb","subcat","subgroup","gradecenter","gap","gcs_mn_avg_ol","gcs_mn_avg_eb"
"1","ABC Secondary (Alternative)","060162010232","0601620","0601620","05501970200000","8965","919","9884","10084.29255","false","NRD","735130","75358","810488",1.964212e+13,19642121995596,"ABC Unified","16534 S. CARMENITA RD.","CERRITOS","CA","90703","82","82","CALPADS Fall 1 Submission enrollment","07-12","4",60162010232,"ABC Secondary (Alternative)",6,"CA","all","all",7.5,0,NA,NA
"2","Bragg Elementary","060162000004","0601620","0601620","05501970200000","10001","919","10920","11120.29255","false","NRD","6540654","601026","7141680",1.964212e+13,19642126071369,"ABC Unified","11501 BOS ST.","CERRITOS","CA","90703","655","654","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000004,"Bragg Elementary",6,"CA","all","all",4.5,0,5.67993080076148,5.67921929047269
"3","Carver (Charles J.) Elementary","060162000008","0601620","0601620","05501970200000","10059","1046","11105","11305.29255","false","NRD","6216462","646428","6862890",1.964212e+13,19642126010904,"ABC Unified","19200 E. ELY ST.","CERRITOS","CA","90703","618","618","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000008,"Carver (Charles J.) Elementary",6,"CA","all","all",4.5,0,5.12313010808047,5.12353149232212
"4","Cerritos Elementary","060162000009","0601620","0601620","05501970200000","10079","919","10998","11198.29255","false","NRD","6783167","618487","7401654",1.964212e+13,19642126068274,"ABC Unified","13600 E. 183RD ST.","CERRITOS","CA","90703","673","673","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000009,"Cerritos Elementary",6,"CA","all","all",4.5,0,7.48478191966354,7.47853017530751
"5","Elliott (William F) Elementary","060162000011","0601620","0601620","05501970200000","10200","1155","11355","11555.29255","false","NRD","5508000","623700","6131700",1.964212e+13,19642126010987,"ABC Unified","18415 CORTNER AVE.","ARTESIA","CA","90703","541","540","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000011,"Elliott (William F) Elementary",6,"CA","all","all",4.5,0,5.30513859115721,5.30567091119603
"6","Fedde (Pharis F.) Middle","060162000020","0601620","0601620","05501970200000","12510","1421","13931","14131.29255","false","NRD","5404320","613872","6018192",1.964212e+13,19642126061238,"ABC Unified","21409 S. ELAINE AVE.","HAWAIIAN GARDENS","CA","90716","432","432","CALPADS Fall 1 Submission enrollment","07-08","3",60162000020,"Fedde (Pharis F.) Middle",6,"CA","all","all",7.5,0,5.72869735421485,5.76844715208905
"7","Furgeson (Venn W.) Elementary","060162000013","0601620","0601620","05501970200000","12276","1425","13701","13901.29255","false","NRD","4652604","540075","5192679",1.964212e+13,19642126010979,"ABC Unified","22215 ELAINE AVE.","HAWAIIAN GARDENS","CA","90716","379","379","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000013,"Furgeson (Venn W.) Elementary",6,"CA","all","all",4.5,0,3.08476288667205,3.0879430185138
"8","Gonsalves (Joe A.) Elementary","060162000015","0601620","0601620","05501970200000","9915","919","10834","11034.29255","false","NRD","6365430","589998","6955428",1.964212e+13,19642126085617,"ABC Unified","13650 PARK ST.","CERRITOS","CA","90703","642","642","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000015,"Gonsalves (Joe A.) Elementary",6,"CA","all","all",4.5,0,7.76578900010708,7.76076007418324
"9","Haskell (Pliny Fisk) Middle","060162000016","0601620","0601620","05501970200000","11127","1126","12253","12453.29255","false","NRD","6186612","626056","6812668",1.964212e+13,19642126061220,"ABC Unified","11525 DEL AMO BLVD.","CERRITOS","CA","90703","556","556","CALPADS Fall 1 Submission enrollment","07-08","3",60162000016,"Haskell (Pliny Fisk) Middle",6,"CA","all","all",7,0,6.13549275807933,6.23607032126193
"10","Hawaiian Elementary","060162000017","0601620","0601620","05501970200000","12651","1375","14026","14226.29255","false","NRD","4389897","477125","4867022",1.964212e+13,19642126010920,"ABC Unified","12350 E. 226TH ST.","HAWAIIAN GARDENS","CA","90716","348","347","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000017,"Hawaiian Elementary",6,"CA","all","all",4.5,0,2.65964273333575,2.66436847607913
"11","Juarez (Benito) Elementary","060162000018","0601620","0601620","05501970200000","11798","1239","13037","13237.29255","false","NRD","3999522","420021","4419543",1.964212e+13,19642126071351,"ABC Unified","11939 ACLARE ST.","CERRITOS","CA","90703","339","339","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000018,"Juarez (Benito) Elementary",6,"CA","all","all",4.5,0,3.52232638094474,3.52551424301736
"12","Leal (Frank C.) Elementary","060162000021","0601620","0601620","05501970200000","9687","919","10606","10806.29255","false","NRD","7420242","703954","8124196",1.964212e+13,19642126085609,"ABC Unified","12920 DROXFORD ST.","CERRITOS","CA","90703","766","766","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000021,"Leal (Frank C.) Elementary",6,"CA","all","all",4.5,0,7.69945140575799,7.69492934542788
"13","Melbourne (Ella P.) Elementary","060162000022","0601620","0601620","05501970200000","11973","1270","13243","13443.29255","false","NRD","5483634","581660","6065294",1.964212e+13,19642126010912,"ABC Unified","21314 CLARETTA AVE.","LAKEWOOD","CA","90715","458","458","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000022,"Melbourne (Ella P.) Elementary",6,"CA","all","all",4.5,0,3.0347961022211,3.03692455016794
"14","Stowers(Cecil B.) Elementary","060162000026","0601620","0601620","05501970200000","9688","919","10607","10807.29255","false","NRD","6490960","615730","7106690",1.964212e+13,19642126066716,"ABC Unified","13350 BEACH ST.","CERRITOS","CA","90703","670","670","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000026,"Stowers(Cecil B.) Elementary",6,"CA","all","all",4.5,0,5.7146640059971,5.71514391142302
"15","Tetzlaff (Martin B.) Middle","060162000027","0601620","0601620","05501970200000","11058","919","11977","12177.29255","false","NRD","7143468","593674","7737142",1.964212e+13,19642126057459,"ABC Unified","12351 E. DEL AMO BLVD.","CERRITOS","CA","90703","646","646","CALPADS Fall 1 Submission enrollment","07-08","3",60162000027,"Tetzlaff (Martin B.) Middle",6,"CA","all","all",7,0,7.11693971021571,7.13613609184979
"16","Tracy (Wilbur) High (Continuation)","060162000028","0601620","0601620","05501970200000","16078","992","17070","17270.29255","false","NRD","3842642","237088","4079730",1.964212e+13,19642121931641,"ABC Unified","12222 CUESTA DR.","CERRITOS","CA","90703","239","239","CALPADS Fall 1 Submission enrollment","09-12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Wittmann (Helen) Elementary","060162000031","0601620","0601620","05501970200000","9534","919","10453","10653.29255","false","NRD","5911080","569780","6480860",1.964212e+13,19642126093447,"ABC Unified","16801 YVETTE AVE.","CERRITOS","CA","90703","620","620","CALPADS Fall 1 Submission enrollment","KG-06","2",60162000031,"Wittmann (Helen) Elementary",6,"CA","all","all",4.5,0,6.75096202072376,6.7467215690209
